invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100001,C142445,Male,43,Clothing,1,1240.85,Cash,10/01/2022,Zorlu Center
I100002,C107602,Male,20,Shoes,4,1579.97,Cash,03/04/2021,Watergarden Istanbul
I100003,C155642,Male,54,Shoes,2,2281.07,Debit Card,05/03/2021,Zorlu Center
I100004,C176748,Female,21,Cosmetics,1,489.67,Cash,24/10/2021,Forum Istanbul
I100005,C118907,Male,54,Food & Beverage,5,165.06,Cash,16/04/2021,Zorlu Center
I100006,C174868,Male,41,Shoes,5,2549.97,Debit Card,03/03/2021,Zorlu Center
I100007,C126995,Female,61,Toys,3,306.08,Credit Card,06/01/2022,Istinye Park
I100008,C132561,Male,62,Cosmetics,1,502.1,Debit Card,22/05/2022,Cevahir AVM
I100009,C195609,Female,36,Shoes,1,1889.38,Cash,15/02/2023,Cevahir AVM
I100010,C119920,Female,44,Clothing,1,1158.63,Debit Card,18/11/2021,Cevahir AVM
I100011,C191133,Female,56,Souvenir,5,242.11,Cash,06/04/2021,Istinye Park
I100012,C162141,Male,21,Food & Beverage,5,198.69,Credit Card,19/10/2021,Forum Istanbul
I100013,C187641,Female,19,Souvenir,3,62.89,Cash,21/05/2022,Kanyon
I100014,C128600,Female,26,Cosmetics,4,373.66,Credit Card,24/03/2021,Metrocity
I100015,C158875,Female,53,Food & Beverage,2,165.66,Debit Card,13/10/2021,Forum Istanbul
I100016,C147024,Female,32,Books,1,60.53,Cash,06/11/2022,Metropol AVM
I100017,C101581,Female,55,Books,3,84.84,Cash,06/03/2022,Watergarden Istanbul
I100018,C148398,Female,26,Clothing,4,1354.32,Debit Card,27/07/2022,Forum Istanbul
I100019,C152175,Female,43,Shoes,4,2293.16,Cash,15/07/2021,Mall of Istanbul
I100020,C127363,Female,28,Shoes,3,2182.4,Cash,01/01/2021,Zorlu Center
I100021,C119826,Male,41,Clothing,1,1317.78,Debit Card,21/01/2022,Metrocity
I100022,C183153,Female,40,Technology,4,1298.47,Credit Card,23/04/2022,Emaar Square Mall
I100023,C163417,Female,23,Books,1,192.43,Debit Card,29/09/2021,Emaar Square Mall
I100024,C190709,Male,51,Clothing,2,1428.93,Debit Card,06/01/2022,Metrocity
I100025,C190448,Male,66,Food & Beverage,1,142.28,Credit Card,15/06/2022,Cevahir AVM
I100026,C121894,Female,67,Cosmetics,5,479.1,Debit Card,04/12/2021,Metropol AVM
I100027,C180377,Male,69,Cosmetics,4,617.91,Cash,24/07/2021,Watergarden Istanbul
I100028,C164589,Female,64,Clothing,1,1195.67,Credit Card,23/09/2021,Metropol AVM
I100029,C190770,Female,46,Technology,3,1023.5,Cash,21/08/2021,Emaar Square Mall
I100030,C125782,Female,31,Souvenir,5,295.8,Debit Card,02/01/2021,Emaar Square Mall
I100031,C185587,Female,69,Shoes,1,3202.26,Debit Card,08/02/2023,Metropol AVM
I100032,C162656,Male,45,Technology,1,5705.35,Debit Card,10/02/2022,Emaar Square Mall
I100033,C152610,Male,64,Books,2,248.42,Cash,04/06/2021,Zorlu Center
I100034,C160994,Male,57,Souvenir,3,59.44,Debit Card,15/05/2021,Kanyon
I100035,C101866,Male,51,Books,4,246.91,Cash,05/08/2021,Kanyon
I100036,C133008,Male,36,Cosmetics,5,328.19,Debit Card,06/03/2022,Metrocity
I100037,C107982,Female,47,Toys,5,121.92,Cash,21/06/2022,Watergarden Istanbul
I100038,C102451,Female,67,Books,5,20.9,Cash,26/06/2021,Metrocity
I100039,C162061,Male,53,Clothing,3,1039.38,Debit Card,23/07/2022,Emaar Square Mall
I100040,C113907,Male,33,Cosmetics,3,129.54,Cash,04/06/2022,Emaar Square Mall
I100041,C173626,Male,66,Shoes,4,1274.53,Debit Card,13/09/2022,Watergarden Istanbul
I100042,C126136,Female,46,Souvenir,5,283.33,Debit Card,20/06/2022,Istinye Park
I100043,C173336,Male,46,Books,4,47.97,Credit Card,20/11/2021,Mall of Istanbul
I100044,C187969,Male,45,Shoes,2,2409.26,Cash,07/03/2023,Metrocity
I100045,C193863,Female,27,Food & Beverage,2,193.83,Cash,04/02/2023,Mall of Istanbul
I100046,C152200,Female,28,Cosmetics,2,594.43,Debit Card,18/02/2022,Cevahir AVM
I100047,C155217,Male,40,Technology,1,5193.98,Cash,13/12/2021,Watergarden Istanbul
I100048,C160118,Female,63,Clothing,4,530.67,Debit Card,30/10/2021,Watergarden Istanbul
I100049,C108426,Male,68,Cosmetics,1,158.84,Credit Card,10/02/2021,Metrocity
I100050,C135447,Male,45,Food & Beverage,4,38.38,Debit Card,08/08/2022,Emaar Square Mall
I100051,C191805,Female,23,Food & Beverage,1,161.92,Cash,12/03/2022,Mall of Istanbul
I100052,C135248,Male,58,Shoes,3,476.35,Cash,10/03/2021,Istinye Park
I100053,C115948,Female,18,Technology,5,3215.44,Credit Card,29/09/2022,Metrocity
I100054,C105663,Male,25,Books,3,31.59,Cash,16/11/2021,Istinye Park
I100055,C169610,Male,36,Souvenir,5,206.56,Credit Card,22/12/2021,Kanyon
I100056,C132826,Male,18,Clothing,5,849.02,Cash,11/06/2022,Emaar Square Mall
I100057,C132201,Female,24,Toys,4,350.25,Credit Card,03/06/2022,Istinye Park
I100058,C190143,Male,32,Technology,2,5909.86,Debit Card,17/01/2023,Metrocity
I100059,C153044,Female,21,Books,1,36.27,Debit Card,19/09/2021,Forum Istanbul
I100060,C121397,Male,23,Toys,5,418.8,Credit Card,06/09/2022,Metropol AVM
I100061,C190791,Female,20,Souvenir,2,59.9,Credit Card,04/01/2021,Istinye Park
I100062,C147728,Female,53,Technology,2,723.9,Credit Card,12/08/2021,Cevahir AVM
I100063,C123980,Male,39,Toys,1,311.05,Debit Card,03/11/2022,Metropol AVM
I100064,C132529,Male,23,Food & Beverage,1,37.33,Debit Card,12/02/2021,Forum Istanbul
I100065,C102948,Female,37,Cosmetics,1,509.91,Debit Card,08/02/2023,Metrocity
I100066,C186185,Female,66,Technology,4,1471.51,Debit Card,26/09/2022,Metrocity
I100067,C105739,Female,64,Books,5,193.16,Debit Card,17/01/2021,Zorlu Center
I100068,C193216,Male,23,Clothing,1,242.99,Credit Card,18/04/2021,Forum Istanbul
I100069,C159164,Male,58,Clothing,5,1036.96,Credit Card,28/09/2021,Kanyon
I100070,C159893,Male,65,Shoes,5,417.97,Debit Card,01/05/2022,Istinye Park
I100071,C109758,Female,33,Cosmetics,2,617.88,Credit Card,21/05/2022,Forum Istanbul
I100072,C110058,Female,61,Food & Beverage,1,127.23,Debit Card,23/07/2021,Mall of Istanbul
I100073,C178604,Male,39,Food & Beverage,3,128.02,Cash,13/01/2021,Emaar Square Mall
I100074,C107950,Female,35,Shoes,2,2429.84,Credit Card,27/12/2022,Watergarden Istanbul
I100075,C137426,Female,47,Souvenir,1,298.09,Debit Card,24/07/2021,Istinye Park
I100076,C111253,Female,19,Food & Beverage,4,24.53,Debit Card,06/04/2022,Istinye Park
I100077,C150704,Male,31,Shoes,5,498.0,Debit Card,21/06/2022,Istinye Park
I100078,C147127,Male,56,Food & Beverage,1,143.63,Cash,25/05/2022,Emaar Square Mall
